title,source,key_message,placement
Dataset roles and construct prevalence,outputs/paper1_audit/table1_dataset_role_size_summary.csv; outputs/paper1_construct_mismatch/construct_prevalence_by_dataset.csv,"The four evidence pools differ sharply in size, length, and PI/HN/UC prevalence; they should be reported separately.",main paper
Length is not unproductive cycling,outputs/paper1_construct_mismatch/tables/length_comparison_summary.csv; outputs/paper1_construct_mismatch/figures/length_vs_construct_density.png,OpenHands and the global longest decile show that long trajectories do not necessarily have high UC prevalence.,main paper
HN/UC overlap categories,outputs/paper1_construct_mismatch/tables/hn_uc_overlap_trajectory_categories.csv; outputs/paper1_construct_mismatch/figures/hn_uc_overlap_by_dataset.png,"HN-only, UC-only, and mixed trajectories coexist, supporting construct non-equivalence.",main paper
F1 vs PIIR by detector and dataset,outputs/paper1_intervention_risk_rich_detectors/figures/figureA_f1_vs_piir_by_dataset.png; detector_metrics_by_dataset.csv,Aggregate F1 and productive-interruption risk can move differently across detector families.,main paper
F1 vs HN-FPR by detector and dataset,outputs/paper1_intervention_risk_rich_detectors/figures/figureB_f1_vs_hn_fpr_by_dataset.png,False positives on hard-negative eligible steps are not captured by F1 alone.,main paper
Near-F1 risk pairs,outputs/paper1_paper_findings/strongest_near_f1_risk_pairs.md; outputs/paper1_intervention_risk_rich_detectors/near_f1_risk_pairs.csv,Near-identical F1 can mask large PIIR/HN-FPR gaps.,main paper
UC recall vs PIIR frontier,outputs/paper1_intervention_risk_rich_detectors/figures/figureC_uc_recall_vs_piir_frontier.png,Detector settings trade off UC recall against productive-interruption risk.,main paper or appendix depending on space
Trigger location distribution,outputs/paper1_intervention_risk_rich_detectors/figures/figureE_trigger_location_distribution.png; trigger_location_distribution.csv,"Detector triggers land in UC, PI/HN, and other regions; site of intervention matters.",main paper
Raw-field availability,outputs/paper1_raw_enrichment/raw_field_availability_by_dataset.csv; raw_enrichment_report.md,Rich detector families are evaluated only where runtime fields are recoverable.,appendix
Bootstrap confidence intervals,outputs/paper1_intervention_risk_rich_detectors/bootstrap_ci.csv,Trajectory-level uncertainty estimates support the main detector-risk comparisons.,appendix
