released_task_id,benchmark_instance_id,arm,run_id,status,model,runner,task_source,start_time,end_time,wall_clock,steps,tokens_input,tokens_output,estimated_cost,guard_triggered,trigger_step,trigger_count,stop_reason,patch_generated,patch_bytes,changed_files_count,repeated_file_count,repeated_tool_count,repeated_file_rate,repeated_tool_rate,post_trigger_repetition_rate
released_task_91c97ead817eaeb2,scikit-learn__scikit-learn-11578,NO_GUARD,68b4d298d9c9,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:14:46Z,2026-06-15T04:15:58Z,71.78,18,183790,5251,0.0,True,3.0,3,Submitted,True,638,1,14,12,0.736842,0.631579,0.736842
released_task_91c97ead817eaeb2,scikit-learn__scikit-learn-11578,WARN_REPLAN_GUARD,6280b39fc286,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:15:59Z,2026-06-15T04:21:42Z,342.814,50,843575,9895,0.0,True,4.0,10,LimitsExceeded,True,1083,2,19,40,0.38,0.8,0.38
released_task_b056a515a3adbd70,pydata__xarray-3095,NO_GUARD,a2bb471fcae1,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:21:43Z,2026-06-15T04:25:53Z,250.783,50,828614,15848,0.0,True,12.0,12,LimitsExceeded,True,667,1,27,49,0.54,0.98,0.54
released_task_b056a515a3adbd70,pydata__xarray-3095,WARN_REPLAN_GUARD,7bb4ac0d010b,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:25:54Z,2026-06-15T04:29:09Z,194.916,45,703210,10382,0.0,True,3.0,9,Submitted,True,667,1,24,53,0.436364,0.963636,0.436364
released_task_91c97ead817eaeb2,scikit-learn__scikit-learn-11578,HARD_STOP_GUARD,5ff34ea5ad04,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:34:50Z,2026-06-15T04:35:04Z,13.839,3,16463,467,0.0,True,3.0,1,hard_stop_guard,False,0,0,2,2,0.666667,0.666667,0.666667
released_task_b056a515a3adbd70,pydata__xarray-3095,HARD_STOP_GUARD,d5842899f65a,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:35:05Z,2026-06-15T04:35:59Z,53.602,10,45762,1313,0.0,True,10.0,1,hard_stop_guard,False,0,0,6,9,0.6,0.9,0.6
released_task_56bf2e9790e1ec72,pytest-dev__pytest-5809,NO_GUARD,30049c3f7ab3,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:36:00Z,2026-06-15T04:36:40Z,40.661,11,42574,1649,0.0,True,4.0,2,Submitted,True,416,1,5,9,0.5,0.9,0.5
released_task_56bf2e9790e1ec72,pytest-dev__pytest-5809,WARN_REPLAN_GUARD,4c8a259e923d,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:36:41Z,2026-06-15T04:36:58Z,16.535,7,24981,1222,0.0,True,4.0,2,Submitted,True,416,1,4,5,0.666667,0.833333,0.666667
released_task_56bf2e9790e1ec72,pytest-dev__pytest-5809,HARD_STOP_GUARD,d32562bafd98,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:36:59Z,2026-06-15T04:37:09Z,10.078,4,10520,710,0.0,True,4.0,1,hard_stop_guard,True,416,1,2,2,0.5,0.5,0.5
released_task_df63832860780fe0,sphinx-doc__sphinx-7910,NO_GUARD,c541bcd1ad35,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:37:10Z,2026-06-15T04:38:47Z,97.254,26,319060,6840,0.0,True,7.0,7,Submitted,True,1151,1,13,25,0.481481,0.925926,0.481481
released_task_df63832860780fe0,sphinx-doc__sphinx-7910,WARN_REPLAN_GUARD,49ed622c4e11,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:38:48Z,2026-06-15T04:40:49Z,120.583,28,258808,8309,0.0,True,4.0,2,Submitted,True,753,1,8,26,0.285714,0.928571,0.285714
released_task_df63832860780fe0,sphinx-doc__sphinx-7910,HARD_STOP_GUARD,8314f0966a55,completed,deepseek-v4-flash,mini-swe-agent,princeton-nlp/SWE-Bench_Verified:test,2026-06-15T04:40:50Z,2026-06-15T04:41:08Z,18.373,5,17348,1566,0.0,True,5.0,1,hard_stop_guard,False,0,0,4,9,0.4,0.9,0.4
