finding_id,theme,dataset,metric_1,value_1,metric_2,value_2,comparison,paper_claim_supported,table_or_figure_source
F01,Length is not UC,OpenHandsExternal330 vs SWE-agent datasets,OpenHands mean length,154.576,OpenHands UC prevalence,1.2%,"OpenHandsExternal330 is much longer on average than SWE-agent datasets (154.576 vs 34.269 steps), but has lower UC prevalence (1.2% vs 46.1%).",Long-horizon trajectories are not sufficient evidence of unproductive cycling.,outputs/paper1_construct_mismatch/tables/length_comparison_summary.csv
F02,Length is not UC,"All four evidence pools, reported as a diagnostic contrast",UC prevalence in global top 10% longest,8.3%,UC prevalence in remaining 90%,38.8%,The global top decile of longest trajectories has lower UC prevalence than the remaining trajectories (8.3% vs 38.8%).,Length alone is an ambiguous signal for loop/stuck behavior.,outputs/paper1_construct_mismatch/tables/length_comparison_summary.csv
F03,Evidence-pool contrast,StressFresh100,UC prevalence,82.0%,HN prevalence,46.0%,StressFresh100 is a clean stress challenge with high UC prevalence (82.0%) while still containing HN cases (46.0%).,Stress evidence pools expose intervention-risk cases that are less visible in natural-distribution controls.,outputs/paper1_construct_mismatch/construct_prevalence_by_dataset.csv
F04,Construct mismatch,OpenHandsExternal330,PI prevalence,99.7%,UC prevalence,1.2%,OpenHandsExternal330 has near-universal PI (329/330) but very rare UC (4/330).,Productive iteration and unproductive cycling are related but non-equivalent constructs.,outputs/paper1_construct_mismatch/construct_prevalence_by_dataset.csv
F05,HN/UC non-equivalence,Enriched500,HN-only trajectories,146 (29.2%),UC-only trajectories,50 (10.0%),"Enriched500 contains HN-only, UC-only, and mixed HN+UC trajectories; mixed HN+UC is 241 trajectories (48.2%).",HN and UC should not be collapsed into a single binary stuck construct.,outputs/paper1_construct_mismatch/tables/hn_uc_overlap_trajectory_categories.csv
F06,F1 hides trigger-site risk,Enriched500,max_step_guard threshold=50 F1 / PIIR,0.719 / 0.101,file_revisit_guard window=5;repeats=3 F1 / PIIR,0.729 / 0.562,"These two detectors differ by only 0.009 F1, but PIIR differs by 0.461 and HN-FPR by 0.230.",Similar aggregate F1 can mask substantially different productive-interruption risk.,outputs/paper1_intervention_risk_rich_detectors/near_f1_risk_pairs.csv
F07,Progress-insensitive repetition risk,Enriched500,file_revisit_guard window=10;repeats=3 UC recall,88.9%,PIIR / HN-FPR,0.623 / 0.401,"The file revisit guard recalls 88.9% of UC spans, but also interrupts 62.3% of PI spans and triggers on 40.1% of HN-eligible steps.",Repetition-based guards can be useful coarse diagnostics but require trigger-site risk evaluation.,outputs/paper1_intervention_risk_rich_detectors/detector_metrics_by_dataset.csv
F08,Stress challenge exposes risk,StressFresh100,file_revisit_guard window=10;repeats=3 UC recall,95.8%,PIIR / HN-FPR,0.868 / 0.797,"In StressFresh100, the same family reaches very high UC recall (95.8%) but also very high PIIR and HN-FPR.",StressFresh100 surfaces intervention risks that a natural-control-only evaluation could understate.,outputs/paper1_intervention_risk_rich_detectors/detector_metrics_by_dataset.csv
F09,Step caps are budget guards,OpenHandsExternal330,max_step_guard threshold=25 burden / PIIR,0.845 / 1.000,max_step_guard threshold=150 F1 / PIIR,0.008 / 0.536,"On long OpenHands trajectories with rare UC, low step caps trigger broadly (threshold=25 burden 84.5%, PIIR 100.0%); even threshold=150 has F1 0.008 with PIIR 53.6%.",Step caps can control budget but should not be interpreted as progress-aware loop detectors.,outputs/paper1_intervention_risk_rich_detectors/detector_metrics_by_dataset.csv
F10,Progress-aware suppression,Enriched500,exact_action_repeat_k k=3 F1 / PIIR / HN-FPR,0.205 / 0.028 / 0.004,repeat_without_progress_guard runtime F1 / PIIR / HN-FPR,0.197 / 0.019 / 0.003,"The progress-aware guard lowers PIIR from 0.028 to 0.019 and HN-FPR from 0.004 to 0.003, with F1 changing from 0.205 to 0.197.","Simple progress-aware suppression is consistent with lower interruption risk, although utility tradeoffs remain.",outputs/paper1_intervention_risk_rich_detectors/detector_metrics_by_dataset.csv
F11,Progress-aware suppression,StressFresh100,tool_repeat_k k=3 F1 / PIIR / HN-FPR,0.446 / 0.283 / 0.137,repeat_without_progress_guard tool-runtime F1 / PIIR / HN-FPR,0.273 / 0.004 / 0.000,"On StressFresh100, progress-aware suppression reduces PIIR from 0.283 to 0.004 and HN-FPR from 0.137 to 0.000, while F1 decreases from 0.446 to 0.273.","Progress awareness can reduce trigger-site risk, but the paper should report the corresponding utility tradeoff.",outputs/paper1_intervention_risk_rich_detectors/detector_metrics_by_dataset.csv
F12,Raw-field availability caveat,"Enriched500, StressFresh100, OpenHandsExternal330",raw action coverage Enriched500 / StressFresh100,64.7% / 100.0%,raw action coverage OpenHandsExternal330,0.0%,Richer repetition detectors are enabled mainly where raw runtime fields are recoverable; OpenHandsExternal330 active labels expose no raw action text in the current artifact.,Detector-family comparisons should be interpreted with dataset-specific raw-field availability in mind.,outputs/paper1_raw_enrichment/raw_field_availability_by_dataset.csv
