released_task_id,benchmark_instance_id,repo,base_commit,problem_statement_hash,task_source,selected_order,selected_for_30,selected_for_60,traceability_level,docker_image,notes
released_task_91c97ead817eaeb2,scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,dd69361a0d9c6ccde0d2353b00b86e0e7541a3e3,e4945959c7c914eff336d7a28037c018533b3473ef69f46f3bcf8c51560a211a,princeton-nlp/SWE-Bench_Verified:test,1,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-11578:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_b056a515a3adbd70,pydata__xarray-3095,pydata/xarray,1757dffac2fa493d7b9a074b84cf8c830a706688,3d8f2d8422b56bd5980ec478be1413ef87805484446fc15dbd482342a59abb25,princeton-nlp/SWE-Bench_Verified:test,2,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-3095:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_56bf2e9790e1ec72,pytest-dev__pytest-5809,pytest-dev/pytest,8aba863a634f40560e25055d179220f0eefabe9a,22a2be85d2560116244c4051221d1ab5109fa7476651aac4e4ee8e26e4b8e6f1,princeton-nlp/SWE-Bench_Verified:test,3,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pytest-dev_1776_pytest-5809:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_df63832860780fe0,sphinx-doc__sphinx-7910,sphinx-doc/sphinx,27ac10de04697e2372d31db5548e56a7c6d9265d,c3d99aeda62cf24ce56a14f0f21c0dc80ac1a4afb3e43e50dbf7bf32a548aa5b,princeton-nlp/SWE-Bench_Verified:test,4,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-7910:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_5e850f2d21dabd70,django__django-11477,django/django,e28671187903e6aca2428374fdd504fca3032aee,e6f1734b2127e19740523521d8c2a947f81cb3b7f7bbe51fd8550374fd580d9b,princeton-nlp/SWE-Bench_Verified:test,5,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11477:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_7e04a501679a132a,django__django-16032,django/django,0c3981eb5094419fe200eb46c71b5376a2266166,a6962d82b41042e5d8c3ddd56535e25107582436685e7ab9efc78b0da6df86c1,princeton-nlp/SWE-Bench_Verified:test,6,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-16032:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_62e1a300553b00f6,django__django-15814,django/django,5eb6a2b33d70b9889e1cafa12594ad6f80773d3a,2ade174953b4185bc7ebb099982940b2b244588d523290a1f468b54fd5c87ea7,princeton-nlp/SWE-Bench_Verified:test,7,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15814:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_d0c764a7cfe98bbb,django__django-15503,django/django,859a87d873ce7152af73ab851653b4e1c3ffea4c,ae5996a2ff543fb4739d14e1d0080c854ac289205e0abe1d687645bc14af2123,princeton-nlp/SWE-Bench_Verified:test,8,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15503:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_dfa98b4dcdc90f6b,django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,a7f427b7eb3f746b6985030b467a99099e6e3453319297a41e35effa7c32b8ed,princeton-nlp/SWE-Bench_Verified:test,9,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-11133:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_6f4886a7683a7987,pydata__xarray-4966,pydata/xarray,37522e991a32ee3c0ad1a5ff8afe8e3eb1885550,2ec61276a1a4afebd955dd7404328821ff6626c57ad13b69003d78eb3939e957,princeton-nlp/SWE-Bench_Verified:test,10,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-4966:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_f7656944fa46c5cd,django__django-12754,django/django,18759b2209ff556aed7f20d83cbf23e3d234e41c,096b0804a84a35b844281a50c353c849cc0eba64d986c65a460f5bb04b84692e,princeton-nlp/SWE-Bench_Verified:test,11,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12754:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_34f0eda326d9b62e,django__django-15022,django/django,e1d673c373a7d032060872b690a92fc95496612e,053d6cadf868999d5c91d65c608c767c064794a28f5a6ce572ddb790e1dcd63f,princeton-nlp/SWE-Bench_Verified:test,12,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-15022:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_a66062ecd2a73e1b,pydata__xarray-7229,pydata/xarray,3aa75c8d00a4a2d4acf10d80f76b937cadb666b7,1755ba7fe03d6f5917886ea3d5f0e5116a78593b08596ad9d394c5ccbb7f26aa,princeton-nlp/SWE-Bench_Verified:test,13,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-7229:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_8b893a87713ebd6d,pydata__xarray-6938,pydata/xarray,c4e40d991c28be51de9ac560ce895ac7f9b14924,80200279ed4af4b8b73e3d9bf2ec5a39dbded0c3e337b1b944253fd7b7b04248,princeton-nlp/SWE-Bench_Verified:test,14,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-6938:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_6c4107394026fd81,scikit-learn__scikit-learn-11310,scikit-learn/scikit-learn,553b5fb8f84ba05c8397f26dd079deece2b05029,ec9f2ef832b10c04cff10b1f35daf40f7a85b1bd4d0c33083913f384c945dc8e,princeton-nlp/SWE-Bench_Verified:test,15,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-11310:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_9e9a2e8a8e602bb3,pydata__xarray-3677,pydata/xarray,ef6e6a7b86f8479b9a1fecf15ad5b88a2326b31e,4d1a08fa41ecef39ce23af292d1139cdc7d030bef74172654e29d4876338b716,princeton-nlp/SWE-Bench_Verified:test,16,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-3677:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_0a99280355bfeb51,django__django-13568,django/django,ede9fac75807fe5810df66280a60e7068cc97e4a,919d7cd6597b70c38f5e1aaeb15f5433c5aa76d6df01dc6d5dad11b23f44b425,princeton-nlp/SWE-Bench_Verified:test,17,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-13568:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_99bc6df058728d26,scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,9f0b959a8c9195d1b6e203f08b698e052b426ca9,e4b5e3d5f7d9caee0d460a28e1d4014ef402cbeb55ace8996a8f80511c98c3fe,princeton-nlp/SWE-Bench_Verified:test,18,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.scikit-learn_1776_scikit-learn-13124:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_75953f0e9d547a21,django__django-12304,django/django,4c1b401e8250f9f520b3c7dc369554477ce8b15a,99dceeb9e23295f6b10e7778f737b9bfb3cf49f99eca1cfae9b10505324c3901,princeton-nlp/SWE-Bench_Verified:test,19,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12304:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_1e60d4d20584f996,django__django-12708,django/django,447980e72ac01da1594dd3373a03ba40b7ee6f80,773681998993eff75a3b69f04821e4e8683f89cfffdee38f19fe11cb3c7a98be,princeton-nlp/SWE-Bench_Verified:test,20,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12708:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_cb92f9ca5782bc55,sympy__sympy-13372,sympy/sympy,30379ea6e225e37833a764ac2da7b7fadf5fe374,fea79ea0704f92ccaa0cf508934dd810021e6742c6176ab08533ba3941178b69,princeton-nlp/SWE-Bench_Verified:test,21,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-13372:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_0564c8f60606eb5a,pydata__xarray-4075,pydata/xarray,19b088636eb7d3f65ab7a1046ac672e0689371d8,d1cc08eec285573fc56f2a58a623e0b7adf33e6f75fd16b4214dd1db4b3e46a6,princeton-nlp/SWE-Bench_Verified:test,22,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-4075:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_0f9166c5f9aacc19,pydata__xarray-6599,pydata/xarray,6bb2b855498b5c68d7cca8cceb710365d58e6048,96fa37e0c21ff705c55cdf125c413b37779b3ef6566658861e3d00d6cf2fa8c4,princeton-nlp/SWE-Bench_Verified:test,23,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.pydata_1776_xarray-6599:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_99c12e09d38cfa00,django__django-14725,django/django,0af9a5fc7d765aa05ea784e2c3237675f3bb4b49,dce7d4945c7b8b97bb004da9edae37b3d03bf2d284a99c7901634f198a928494,princeton-nlp/SWE-Bench_Verified:test,24,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14725:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_4805f1e278827d09,django__django-14238,django/django,30e123ed351317b7527f632b3b7dc4e81e850449,ee71cd2bf018f9b6642fe511b99cd64cebaf60a85abc709d87d65ee2c97a2ffd,princeton-nlp/SWE-Bench_Verified:test,25,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-14238:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_e590948c68d6dee7,django__django-12209,django/django,5a68f024987e6d16c2626a31bf653a2edddea579,5e48c4a578224647481334cf10311fff1141a4897260744d719b8af678daf53c,princeton-nlp/SWE-Bench_Verified:test,26,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-12209:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_d8d2a78a7a2a4779,django__django-7530,django/django,f8fab6f90233c7114d642dfe01a4e6d4cb14ee7d,660d95fad484d129e2943cf8276d081cfceb02bada155f6ddf2e5e1ce4af5d39,princeton-nlp/SWE-Bench_Verified:test,27,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.django_1776_django-7530:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_88e0f0029dab0d06,sympy__sympy-14976,sympy/sympy,9cbea134220b0b951587e11b63e2c832c7246cbc,3c0d98bb2098e4b8be846f95279696c6ab55e3ab5f22f05c946c0af281f81bda,princeton-nlp/SWE-Bench_Verified:test,28,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.sympy_1776_sympy-14976:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_6b0d74dee3da1eaf,astropy__astropy-13579,astropy/astropy,0df94ff7097961e92fd7812036a24b145bc13ca8,70a48b6e4c77b5abc12b1e750bbb70110b7215d19c9ea3550f2b7261be84021d,princeton-nlp/SWE-Bench_Verified:test,29,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.astropy_1776_astropy-13579:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
released_task_d06df4bda5ee702b,sphinx-doc__sphinx-8459,sphinx-doc/sphinx,68aa4fb29e7dfe521749e1e14f750d7afabb3481,5a7af99001528e86ff4d88a9bf03e4b87b08c1c4907ef4230d6dfa05a3375018,princeton-nlp/SWE-Bench_Verified:test,30,True,True,public_benchmark_fallback,docker.io/swebench/sweb.eval.x86_64.sphinx-doc_1776_sphinx-8459:latest,Frozen before official-oracle outcomes; prior pilot order reused as prefix when available.
